年月日,證券代號,證券名稱,外資買進股數,外資賣出股數,投信買進股數,投信賣出股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),三大法人買賣超股數,自營商買進股數,自營商賣出股數
2015/03/12,2891,中信金          ,47108000,9050574,210000,83093,169000,1551331,900000,1650000,36052002,169000900000,15513311650000
2015/03/12,2409,友達            ,30698000,34833420,17510000,18021,7993000,3450000,10976000,1253000,27622559,799300010976000,34500001253000
2015/03/12,3481,群創            ,27111000,19871244,6369000,275,3764000,853039,14162000,3470773,27210669,376400014162000,8530393470773
2015/03/12,00633L,上証2X          ,0,0,195000,0,449000,225000,29491000,5445000,24465000,44900029491000,2250005445000
2015/03/12,2886,兆豐金          ,24700000,8695000,256000,4649,39000,29001,1663,278000,15990013,390001663,29001278000
2015/03/12,0061,寶滬深          ,2702000,0,0,0,217000,320000,15594000,2932000,15261000,21700015594000,3200002932000
2015/03/12,2356,英業達          ,8661000,1432000,1765,0,112000,84125,1941000,202000,8997640,1120001941000,84125202000
2015/03/12,2311,日月光          ,31001000,23250198,1070000,48413,208000,796301,829000,1601000,7412088,208000829000,7963011601000
2015/03/12,2609,陽明            ,6641000,2390096,3192395,0,1287000,151000,966000,2462000,7083299,1287000966000,1510002462000
2015/03/12,2301,光寶科          ,7122000,1130000,192817,0,240000,367015,490000,141000,6406802,240000490000,367015141000
2015/03/12,2324,仁寶            ,12694000,5923000,133694,0,5000,0,59000,808000,6160694,500059000,0808000
2015/03/12,006205,FB上証          ,25000,0,650000,0,184000,80000,10348000,5773000,5354000,18400010348000,800005773000
2015/03/12,2603,長榮            ,3069000,3325000,3837000,2976,404000,48000,1456000,780000,4610024,4040001456000,48000780000
2015/03/12,2449,京元電          ,5370000,2514000,0,217451,489000,162000,1515000,39000,4441549,4890001515000,16200039000
2015/03/12,2344,華邦電          ,3595000,2198000,0,744,0,200000,3963000,726000,4433256,03963000,200000726000
2015/03/12,006206,元上證          ,0,0,0,0,162000,20000,9803000,5638000,4307000,1620009803000,200005638000
2015/03/12,2352,佳世達          ,653000,525510,0,2048,739000,0,3422000,278000,4008442,7390003422000,0278000
2015/03/12,2823,中壽            ,6384000,1996452,0,1596,1000,16000,15000,542000,3843952,100015000,16000542000
2015/03/12,8039,台虹            ,2508000,244000,166000,0,130000,55000,1353000,29000,3829000,1300001353000,5500029000
2015/03/12,4915,致伸            ,3174000,488000,813000,300,430000,922000,752000,734000,3024700,430000752000,922000734000
2015/03/12,2834,臺企銀          ,5752200,3207000,2114,1000,0,12790,750000,283000,3000524,0750000,12790283000
2015/03/12,3698,隆達            ,3109000,32000,52138,888000,773000,135000,98000,128000,2849138,77300098000,135000128000
2015/03/12,3673,F-TPK           ,2158000,370000,3000,263,415000,40000,704000,44000,2825737,415000704000,4000044000
2015/03/12,6269,台郡            ,2901000,183000,89011,0,384000,114000,170000,500000,2747011,384000170000,114000500000
2015/03/12,0050,台灣50          ,1856000,223000,0,0,3000,4000,1980000,1198000,2414000,30001980000,40001198000
2015/03/12,1303,南亞            ,4590870,2110000,0,19302,2000,7010,30000,140000,2346558,200030000,7010140000
2015/03/12,2325,矽品            ,5265000,3571699,10000,21034,123000,2000,209000,21000,1991267,123000209000,200021000
2015/03/12,3035,智原            ,2188000,1366000,236196,0,450000,270000,1412000,662000,1988196,4500001412000,270000662000
2015/03/12,2890,永豐金          ,7379000,5213945,0,154107,44000,21000,50000,125000,1958948,4400050000,21000125000
2015/03/12,2412,中華電          ,4981900,3130632,0,801,0,0,0,0,1850467,00,00
2015/03/12,3023,信邦            ,1289000,285000,40000,0,75000,139000,724000,28000,1676000,75000724000,13900028000
2015/03/12,2379,瑞昱            ,1645000,680000,793,0,77000,908,635000,65000,1611885,77000635000,90865000
2015/03/12,2313,華通            ,4347000,3009000,1197,0,0,0,320000,63000,1596197,0320000,063000
2015/03/12,2458,義隆            ,1578266,159000,0,30547,15000,462000,693000,143000,1491719,15000693000,462000143000
2015/03/12,2406,國碩            ,579000,2000,0,0,0,1000,1001000,98000,1479000,01001000,100098000
2015/03/12,9105,泰金寶          ,1468000,0,0,0,0,0,0,0,1468000,00,00
2015/03/12,6285,啟??            ,1241000,20040,148866,290000,80000,83000,404000,34000,1446826,80000404000,8300034000
2015/03/12,2408,南亞科          ,1188000,511000,889,200000,6000,5000,1092000,148000,1422889,60001092000,5000148000
2015/03/12,3702,大聯大          ,2589000,1451000,0,269,311000,32000,1000,1000,1416731,3110001000,320001000
2015/03/12,9904,寶成            ,4023000,2941089,695000,67800,90000,563000,304000,130000,1410111,90000304000,563000130000
2015/03/12,2347,聯強            ,2818000,1462000,0,180,23000,0,32000,35000,1375820,2300032000,035000
2015/03/12,2393,億光            ,2470000,1161000,0,16013,0,47000,86000,44000,1287987,086000,4700044000
2015/03/12,1477,聚陽            ,1219000,104000,145329,53000,8000,46000,90000,0,1259329,800090000,460000
2015/03/12,9910,豐泰            ,1143000,273000,447000,70992,60000,92120,0,0,1213888,600000,921200
2015/03/12,3042,晶技            ,827000,244000,0,0,35000,1000,644000,82000,1179000,35000644000,100082000
2015/03/12,1710,東聯            ,1514000,580000,579,0,100000,17200,128000,31000,1114379,100000128000,1720031000
2015/03/12,2392,正崴            ,648000,148000,849107,0,31000,175000,20000,224000,1001107,3100020000,175000224000
2015/03/12,5305,敦南            ,1000,77000,0,0,1000,0,1139000,65000,999000,10001139000,065000
2015/03/12,4526,東台            ,1150000,42000,0,0,0,132000,0,0,976000,00,1320000
2015/03/12,00631L,T50正2          ,0,0,0,0,14000,0,1198000,310000,902000,140001198000,0310000
2015/03/12,2367,燿華            ,1281000,433000,0,0,0,0,0,0,848000,00,00
2015/03/12,3044,健鼎            ,1542376,818000,208,0,0,2000,171000,64000,829584,0171000,200064000
2015/03/12,9939,宏全            ,926000,195000,180000,84232,638000,110000,146000,690000,810768,638000146000,110000690000
2015/03/12,2441,超豐            ,1024000,176748,564,0,80000,0,14000,132000,809816,8000014000,0132000
2015/03/12,2455,全新            ,1411000,812000,41000,0,426000,281000,0,0,785000,4260000,2810000
2015/03/12,4935,F-茂林          ,805000,21000,0,0,0,20000,0,0,764000,00,200000
2015/03/12,2548,華固            ,682000,199000,0,797,0,139000,401000,22000,722203,0401000,13900022000
2015/03/12,6230,超眾            ,210000,5000,337000,22000,145000,10000,0,0,655000,1450000,100000
2015/03/12,2385,群光            ,820000,351000,163383,0,0,0,0,0,632383,00,00
2015/03/12,5469,瀚宇博          ,736000,108000,0,0,0,0,0,0,628000,00,00
2015/03/12,2538,基泰            ,46000,18000,0,0,550000,1000,0,0,577000,5500000,10000
2015/03/12,1722,台肥            ,888000,326000,340,0,0,12000,0,0,550340,00,120000
2015/03/12,2105,正新            ,2831000,1854000,0,370774,14000,103345,5000,0,521881,140005000,1033450
2015/03/12,2809,京城銀          ,1444598,890000,796,0,0,3000,0,37000,515394,00,300037000
2015/03/12,1312,國喬            ,733000,83000,0,927,113000,235000,46000,72000,501073,11300046000,23500072000
2015/03/12,1476,儒鴻            ,713000,155000,10000,50362,2000,24000,8000,10000,493638,20008000,2400010000
2015/03/12,3045,台灣大          ,2064000,1582466,0,130637,116000,0,23000,8000,481897,11600023000,08000
2015/03/12,2420,新巨            ,401000,47000,0,0,107000,0,0,0,461000,1070000,00
2015/03/12,1447,力鵬            ,588000,9000,0,100000,30000,63400,59000,49000,455600,3000059000,6340049000
2015/03/12,2375,智寶            ,438000,0,0,0,0,0,0,0,438000,00,00
2015/03/12,2402,毅嘉            ,540000,119000,0,0,0,0,45000,32000,434000,045000,032000
2015/03/12,3051,力特            ,588000,156000,0,0,0,0,0,0,432000,00,00
2015/03/12,4938,和碩            ,4763500,4289304,191,18000,6000,7000,10000,39000,426387,600010000,700039000
2015/03/12,4904,遠傳            ,2090700,1893480,265,0,209000,0,19000,1000,424485,20900019000,01000
2015/03/12,2421,建準            ,423000,4000,0,0,0,0,0,0,419000,00,00
2015/03/12,9802,F-鈺齊          ,535000,280251,160000,23000,89000,68000,0,0,412749,890000,680000
2015/03/12,6239,力成            ,1109000,637000,0,693,0,51000,15000,24000,411307,015000,5100024000
2015/03/12,0055,寶金融          ,0,0,0,0,0,0,388000,7000,381000,0388000,07000
2015/03/12,2883,開發金          ,8154200,7759000,0,8388,58000,87000,146000,139000,364812,58000146000,87000139000
2015/03/12,3437,榮創            ,72000,160798,185000,0,316000,50000,0,0,362202,3160000,500000
